Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid
"Pink Stone 1t.",20719,GARDENSTONES,1,1.2,1.2,311.33,221.04,287.4,370.9,258.7,342.2,243.2,326.7,,0,,2021-12-23 00:00:00,,0,0,,1,,24144
"Granit Szary 1t.",20720,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24145
"Giallo Siena 1t.",20721,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24179
"Rosso Verona 1t.",20722,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24177
"Granito Rosso 1t.",20723,GARDENSTONES,1,1.2,1.2,729.94,518.26,673.8,757.3,606.4,689.9,570.1,653.6,,0,,2021-12-23 00:00:00,,0,0,,1,,24148
"Bazalt 1t.",20724,GARDENSTONES,1,1.2,1.2,230.11,163.38,212.4,295.9,191.2,274.7,179.8,263.3,,0,,2021-12-23 00:00:00,,0,0,,1,,24149
"Nero Ebano 1t.",20725,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24174
"Grafito 1t.",20726,GARDENSTONES,1,1.2,1.2,263.22,186.89,243,326.5,218.7,302.2,205.6,289.1,,0,,2021-12-23 00:00:00,,0,0,,1,,24151
"Arctic Green 1t.",20727,GARDENSTONES,1,1.2,1.2,3836.51,2723.92,3541.1,3624.6,3187,3270.5,2996.4,3079.9,,0,,2021-12-23 00:00:00,,0,0,,1,,24152
"Serpentynit 1t.",20728,GARDENSTONES,1,1.2,1.2,257.18,182.6,237.4,320.9,213.7,297.2,200.9,284.4,,0,,2021-12-23 00:00:00,,0,0,,1,,24184
"Kora Antracytowa 1t.",20729,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24154
"Kora Antracytowa Antico 1t.",20730,GARDENSTONES,1,1.2,1.2,811.69,576.3,749.2,832.7,674.3,757.8,634,717.5,,0,,2021-12-23 00:00:00,,0,0,,1,,24155
"Koraota 1t.",20731,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,0
"Kora Srebrna 1t.",20732,GARDENSTONES,1,1.2,1.2,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24190
"Plum Slate 1t.",20733,GARDENSTONES,1,1.2,1.2,1672.8,1187.69,1544,1627.5,1389.6,1473.1,1306.5,1390,,0,,2021-12-23 00:00:00,,0,0,,1,,24158
"Kora Kamienna 1t.",20734,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24159
"Golden Gravel 1t.",20735,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24160
"Natural 1t.",20736,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24161
"Japoński Ogród 1t.",20737,GARDENSTONES,1,1.2,1.2,284.25,201.82,262.4,345.9,236.2,319.7,222.1,305.6,,0,,2021-12-23 00:00:00,,0,0,,1,,24162
"Paloma 1t.",20738,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24163
"Żwir Lodowy 1t.",20739,GARDENSTONES,1,1.2,1.2,322.26,228.8,297.5,381,267.7,351.2,251.7,335.2,,0,,2021-12-23 00:00:00,,0,0,,1,,24164
"White Angel 1t.",20740,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24165
"Snow Angel 1t.",20741,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24166
"Kalcyt 1t.",20742,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24199
"Bianco Carrara 1t.",20743,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24168
"Bardiglio 1t.",20744,GARDENSTONES,1,1.2,1.2,1189.03,844.21,1097.5,1181,987.8,1071.3,928.7,1012.2,,0,,2021-12-23 00:00:00,,0,0,,1,,24171
"Bardiglio 1t.",20745,GARDENSTONES,1,1.2,1.2,1189.03,844.21,1097.5,1181,987.8,1071.3,928.7,1012.2,,0,,2021-12-23 00:00:00,,0,0,,1,,24171
"Marmur Czarny 1t.",20746,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24172
"Nero Ebano 1t.",20747,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24174
"Cherry 1t.",20748,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24175
"Rosso Verona 1t.",20749,GARDENSTONES,1,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,,24177
"Giallo Siena 1t.",20750,GARDENSTONES,1,1.2,1.2,1269.05,901.03,1171.4,1254.9,1054.3,1137.8,991.2,1074.7,,0,,2021-12-23 00:00:00,,0,0,,1,,24179
