Nazwa,ID,Fabryka,Pakowanie,Waga Paczki,Waga Jednostki,Cena katalogowa,Cena zakupu,Cena Detal Fabryka,Cena Detal Plac,Cena Wykonawcy Fabryka,Cena Wykonawcy Plac,Cena Hurt Fabryka,Cena Hurt Plac,Czy Kurier,Cena Kurier,Towar Niedostępny,Przewidywany czas dostępnosci,Uwagi,Sprzedaz jednostkowa,Szerokosc,Na Promocji,Na Palecie,Czy Koszt Sprzedazy,wpid,,
Nostalite Prima - galia,85,POLBRUK,11.4,1.5,0.13157894736842,81,18,43,67,54.2,56.6,49,51.4,46.3,48.7,,0,,2021-12-23 00:00:00,,1.14,0,,1,1,6734
"Carmino - gładka, brązowy",86,POLBRUK,9.86,1.3,0.13184584178499,67,9,34,7,40.6,43.3,38.2,40.9,36.2,38.9,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6740
"Carmino - gładka, grafitowy",87,POLBRUK,9.86,1.3,0.13184584178499,67,9,34,7,40.6,43.3,38.2,40.9,36.2,38.9,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6742
"Carmino - gładka, hawaii",88,POLBRUK,9.86,1.3,0.13184584178499,81,18,43,67,54.2,56.9,49,51.7,46.3,49,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6743
"Carmino - gładka, latte",89,POLBRUK,9.86,1.3,0.13184584178499,81,18,43,67,54.2,56.9,49,51.7,46.3,49,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6745
"Carmino - gładka, szary",90,POLBRUK,9.86,1.3,0.13184584178499,63,47,31,61,37.7,40.4,35.5,38.2,33.6,36.3,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6746
"Carmino - postarzana, grafitowy",91,POLBRUK,9.86,1.3,0.13184584178499,103,32,55,35,68.7,71.4,62,64.7,58.7,61.4,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6750
"Carmino - postarzana, hawaii",92,POLBRUK,9.86,1.3,0.13184584178499,103,32,55,35,68.7,71.4,62,64.7,58.7,61.4,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6751
"Carmino - postarzana, latte",93,POLBRUK,9.86,1.3,0.13184584178499,103,32,55,35,68.7,71.4,62,64.7,58.7,61.4,,0,,2021-12-23 00:00:00,,0.986,0,,1,1,6753
Obrzeże trawnikowe 6x20x100 cm - brązowy,94,POLBRUK,56,1.53,0.027321428571429,19,93,9,47,12.4,12.9,11.4,11.9,10.1,10.6,,0,,2021-12-23 00:00:00,,1,0,,1,,6756
Obrzeże trawnikowe 6x20x100 cm - czerwony,95,POLBRUK,56,1.53,0.027321428571429,19,93,9,47,12.4,12.9,11.4,11.9,10.1,10.6,,0,,2021-12-23 00:00:00,,1,0,,1,,6757
Obrzeże trawnikowe 6x20x100 cm - grafitowy,96,POLBRUK,56,1.53,0.027,19,93,9,47,12.4,12.9,11.4,11.9,10.1,10.6,,0,,2021-12-23 00:00:00,,1,0,1,1,,6758
Obrzeże trawnikowe 6x20x100 cm - szary,97,POLBRUK,56,1.53,0.027321428571429,14,51,7,75,10.1,10.6,9.3,9.8,8.3,8.8,,0,,2021-12-23 00:00:00,,1,0,1,1,,6759
Aura Polbruk - dim,98,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,1,0,,1,1,6765,,
Tetka 8cm,99,POLBRUK,0,0,0,0,0,0,0,0,0,0,0,,0,,2021-12-23 00:00:00,,0,0,,1,1,6771,,
"Tetka 8cm - czerwony, faza",100,POLBRUK,8.51,1.51,0.17743830787309,76,79,34,81,43.9,47,39,42.1,36.6,39.7,,0,,2021-12-23 00:00:00,,1.06375,0,,1,1,6772
"Tetka 8cm - grafitowy, faza",101,POLBRUK,8.51,1.51,0.17743830787309,76,79,34,81,43.9,47,39,42.1,36.6,39.7,,0,,2021-12-23 00:00:00,,1.06375,0,,1,1,6773
"Tetka 8cm - szary, faza",102,POLBRUK,8.51,1.51,0.17743830787309,70,85,32,35,40.8,43.9,36.3,39.4,34,37.1,,0,,2021-12-23 00:00:00,,1.06375,0,1,1,1,6774
"Tetka 8cm - czerwony, brak fazy",103,POLBRUK,8.51,1.51,0.17743830787309,76,79,34,81,43.9,47,39,42.1,36.6,39.7,,0,,2021-12-23 00:00:00,,1.06375,0,,1,1,6775
"Tetka 8cm - grafitowy, brak fazy",104,POLBRUK,8.51,1.51,0.17743830787309,76,79,34,81,43.9,47,39,42.1,36.6,39.7,,0,,2021-12-23 00:00:00,,1.06375,0,,1,1,6776
"Tetka 8cm - szary, brak fazy",105,POLBRUK,8.51,1.51,0.17743830787309,70,85,32,35,40.8,43.9,36.3,39.4,34,37.1,,0,,2021-12-23 00:00:00,,1.06375,0,,1,1,6777
Petra - alpen,106,POLBRUK,6.97,1.23,0.17647058823529,90,4,47,97,59.5,63.3,53.8,57.6,50.9,54.7,,0,,2021-12-23 00:00:00,,0.87125,0,,1,1,6781
Petra - onyx,107,POLBRUK,6.97,1.23,0.17647058823529,90,4,47,97,59.5,63.3,53.8,57.6,50.9,54.7,,0,,2021-12-23 00:00:00,,0.87125,0,,1,1,6782
